-1559800 -1140576
-1706767 -405345
-1939115 -703301
-1525248 -823880
-1785269 -187033
-1705204 -621606
-1898789 -279831
-1567694 -1149843
-1662708 -754450
-1606306 -1169598
-1764067 -686270
-1712331 -775458
-1614502 -1061880
-1527502 -991825
-2000739 -299121
-1777890 -644749
-1601665 -1164192
-1736262 -381602
-1818349 -752065
-1922839 -597896
-1876230 -711185
-1839753 -745024
-1604230 -1050819
-1826492 -292460
-1975602 -204931
-1812983 -607851
-1818554 -877833
-1811385 -280751
-1667328 -645895
-1514525 -771715
-1925162 -594492
-1644952 -789357
-1915526 -402150
-1664928 -1061824
-1816754 -735204
-2009327 -365254
-1622334 -1035172
-1915882 -533386
-1536381 -1094941
-1864238 -200017
-1806183 -459895
-1917336 -95174
-1714498 -474723
-1828045 -881681
-1675578 -678411
-1833045 -640531
-1754315 -971261
-1849726 -737933
-1627019 -945318
-1847884 -473841
-1793591 -520331
-1557253 -1157173
-1512708 -1202926
-1872351 -625161
-1581339 -1106488
-1729452 -589218
-1674669 -816396
-1668019 -1030402
-1808060 -758571
-1733040 -185033
-1611190 -1146839
-1984255 -204496
-1614725 -1089798
-1801951 -588251
-1785143 -965268
-1756865 -479891
-2005744 -188001
-1479862 -856809
-1743835 -392395
-1675152 -146313
-1659478 -228554
-1736219 -337980
-1789737 -556741
-1650896 -887085
-1698601 -553152
-1669841 -897369
-1745603 -352023
-1701107 -969560
-1666152 -1048432
-1778256 -196262
-1642599 -1049058
-1711387 -511787
-1790376 -494188
-1876672 -706389
-1632239 -755652
-1603969 -1147897
-1609229 -1186763
-1498070 -1106747
-1847369 -889966
-1907860 -370864
-1797788 -948249
-1765400 -679075
-1671955 -1055353
-1768816 -363005
-1840851 -435798
-1948482 -531689
-1927261 -356848
-1583749 -1219738
-1685408 -1002273
-1651358 -1002729
-1617336 -629030
-1904105 -483606
-1773366 -392331
-1716162 -573275
-1640798 -611138
-1766542 -504632
-1660368 -1018887
-1990371 -421588
-1587356 -1048071
-1775007 -613137
-1786041 -544837
-1907128 -524997
-1588267 -1201073
-1737104 -853048
-1821666 -207195
-1853986 -551815
-1713840 -739319
-1759078 -403776
-1908783 -153414
-1707258 -995497
-1875016 -230094
-2015836 -183357
-1770176 -797917
-1856046 -444060
-1681397 -1042866
-1960918 -387185
-1631508 -1088930
-1951744 -576556
-1707686 -770217
-1934016 -438198
-1577356 -1055351
-1918251 -161115
-1583580 -948645
-1744229 -625294
-1918253 -653158
-1955701 -519493
-1667089 -150697
-2002735 -357245
-1828097 -425350
-1663164 -607986
-1768404 -117306
-1701191 -403249
-1940219 -576916
